,all case,all reversed case,civil casess,reversed civil cases
Bonnie H. MacLeod-Mancuso,1,0,1,0
"Ralph D. Gants, C.J.",2,2,1,1
Frank M. Gaziano,10,2,5,0
Gregory L. Phillips,1,0,0,0
David A. Lowy,14,1,9,0
Christine M. Roach,4,2,0,0
Margot Botsford,1,1,0,0
Gwendolyn R. Tyre,1,0,1,0
Daniel A. Ford,2,1,0,0
Debra A. DelVecchio,1,0,1,0
"William F. Mazanec, III",1,1,0,0
John S. Ferrara,1,1,1,1
"Gilbert J. Nadeau, Jr.",1,1,0,0
Barbara J. Rouse,1,0,0,0
Isaac Borenstein,1,1,0,0
John T. Lu,1,0,0,0
C. Brian McDonald,1,1,0,0
Mary-Lou Rup,3,0,0,0
Stephen S. Abany,1,0,0,0
Eleanor C. Sinnott,1,1,0,0
Virginia M. Ward,1,0,1,0
Kimberly S. Budd,4,0,1,0
Scott L. Kafker,9,0,7,0
Elspeth B. Cypher,8,1,5,0
William J. Meade,1,0,1,0
Thomas S. Barrett,1,0,1,0
Richard F. Connon,1,0,1,0
Robert G. Harbour,1,1,0,0
Jeffrey A. Locke,1,1,1,1
Peter A. Velis,1,0,0,0
Patrick F. Brady,1,0,0,0
Michael A. Patten,1,0,0,0
Margaret R. Hinkle,1,1,0,0
Jeffrey M. Winik,2,2,2,2
Richard J. Chin,3,1,0,0
Julieann Hernon,1,1,0,0
Kathleen A. Sandman,1,0,1,0
David S. Ross,1,0,0,0
Tracy L. Lyons,1,0,0,0
Marianne C. Hinkle,1,0,0,0
Sarah W. Ellis,1,1,1,1
Robert J. McKenna,1,0,0,0
Lawrence Moniz,1,0,0,0
Robert A. Barton,1,0,0,0
Elizabeth B. Donovan,1,0,0,0
Thomas S. Kaplanes,1,1,0,0
Daniel J. Hourihan,1,0,0,0
Michael D. Ricciuti,1,0,1,0
Kevin R. Connelly,1,0,1,0
D. Dunbar Livingston,1,1,0,0
E. Sydney Hanlon,1,0,1,0
Anne Kenney Chaplin,1,0,1,0
not Mentioned,1,0,1,0
Francis X. Spina,1,0,0,0
"Joseph M. Walker, III",1,0,0,0
Raymond J. Brassard,1,1,0,0
R. Marc Kantrowitz,1,0,0,0
Christopher Barry-Smith,1,0,1,0
Stephen E. Neel,1,1,0,0
"Gerald F. O'Neill, Jr.",1,0,0,0
Michele A. Ouimet-Rooke,1,0,0,0
Peter F. Doyle,1,0,0,0
C. Jeffrey Kinder,1,0,0,0
"Raymond P. Veary, Jr.",1,1,0,0
Thomas H. Estes,1,0,0,0
